Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Schedule Temperature [](TimeStep),EMS:Heating Schedule Temperature [](TimeStep),EMS:Cooling Setpoint Temperature [](TimeStep),EMS:Heating Setpoint Temperature [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),EMS:Heating Volume [](TimeStep),EMS:Cooling Volume [](TimeStep),EMS:Indoor Air Temperature [](TimeStep),EMS:Occupant Count [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/01  05:55:00,23.39166666666667,21638.58349175382,0.0,80.6,60.8,80.36826461623545,61.031735383764559,75.24541967701606,75.24541967701606,1.0,0.0,672.0,26812.0,75.24541967701606,0.0,29168.373838142747,69958.57014145228,0.0 
 07/01  06:00:00,23.3,21514.23195624647,0.0,80.6,60.8,80.36826461623545,61.031735383764559,75.1828148985824,75.1828148985824,1.0,0.0,672.0,26812.0,75.1828148985824,0.0,29043.244534385012,69831.47211252254,0.0 
 07/01  06:05:00,23.533333333333336,21389.102652509908,0.0,80.6,60.8,80.36826461623545,61.031735383764559,75.12693307066302,75.12693307066302,1.0,0.0,672.0,26812.0,75.12693307066302,0.0,35960.02030374314,76658.88741393472,0.0 
 07/01  06:10:00,23.766666666666667,12651.30448104877,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.80903693301633,74.80903693301633,1.0,0.0,672.0,26812.0,74.80903693301633,0.0,34058.41891320268,74754.5391562313,0.0 
 07/01  06:15:00,24.0,26201.967222643318,119.19558052314938,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.74094747451315,74.74094747451315,1.0,1.0,672.0,26812.0,74.74094747451315,0.0,34682.567088206066,75379.01267452628,0.0 
 07/01  06:20:00,24.233333333333336,26855.926643772145,82.09593664791632,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.70502683240676,74.70502683240676,1.0,1.0,672.0,26812.0,74.70502683240676,0.0,35329.16128633453,76028.9337547563,0.0 
 07/01  06:25:00,24.46666666666667,27575.922047028398,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.67180138697374,74.67180138697374,1.0,0.0,672.0,26812.0,74.67180138697374,0.0,36063.58428590293,76767.25266790291,0.0 
 07/01  06:30:00,24.700000000000004,28301.250309592782,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.64111550551806,74.64111550551806,1.0,0.0,672.0,26812.0,74.64111550551806,0.0,36815.96561266277,77524.16936238863,0.0 
 07/01  06:35:00,24.933333333333335,29043.202227458296,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.61249149430792,74.61249149430792,1.0,0.0,672.0,26812.0,74.61249149430792,0.0,37545.89832846639,78258.83966979735,0.0 
 07/01  06:40:00,25.166666666666666,29765.871760537415,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.58548438207609,74.58548438207609,1.0,0.0,672.0,26812.0,74.58548438207609,0.0,38277.50436606376,78995.18938276262,0.0 
 07/01  06:45:00,25.400000000000003,30490.319685692688,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.55996131739221,74.55996131739221,1.0,0.0,672.0,26812.0,74.55996131739221,0.0,39017.99498567132,79740.4288381989,0.0 
 07/01  06:50:00,25.633333333333338,31222.446029331164,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.53569279216828,74.53569279216828,1.0,0.0,672.0,26812.0,74.53569279216828,0.0,39765.61547790025,80492.80385268227,0.0 
 07/01  06:55:00,25.866666666666668,31961.22927260463,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.5129900498829,74.5129900498829,1.0,0.0,672.0,26812.0,74.5129900498829,0.0,40518.84939397755,81250.8026927336,0.0 
 07/01  07:00:00,26.1,32705.215604764824,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.49184739080937,74.49184739080937,1.0,0.0,672.0,26812.0,74.49184739080937,0.0,41277.00431337477,82013.73090948584,0.0 
 07/01  07:05:00,26.375,33453.815246929065,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.472421623251,74.472421623251,1.0,0.0,672.0,26812.0,74.472421623251,0.0,46044.969881271434,135007.0858744274,0.0 
 07/01  07:10:00,26.650000000000003,19158.342228763046,0.0,76.56119924319605,67.53133459467327,76.32946385943149,67.76306997843781,74.7120555552665,74.7120555552665,1.0,0.0,672.0,26812.0,74.7120555552665,216.58844050947497,49084.171867368,138060.0048398226,0.0 
